Geneid	description	read01	read02	read03	read04	read05	read06	read07	read08
CG15784	CG15784	14.7200123150778	17.5671160526556	17.770928483779	21.4671229730776	16.8006492270981	15.813798269884	20.6204449149929	12.7507072506308
CG4111	RpL35	361.130968796575	388.428454942052	374.176771964012	368.844203810151	674.002516051819	757.085592170695	710.91438659309	741.502667805912
CG15771	CG15771	17.6640147780934	14.639263377213	13.8218332651614	12.6851181204549	25.6951105826207	13.8370734861485	15.710815173328	10.7890599813029
CG3097	CG3097	36.3093637105252	40.9899374561964	50.3509640373737	51.7162507987777	43.4840332936657	37.5577708909744	39.2770379333199	51.002829002523
CG6041	CG6041	47.104039408249	31.2304285380544	37.5164045768667	40.982689312239	19.765469678939	12.8487110942807	22.5842968116589	21.5781199626059
CG6048	CG6048	17.6640147780934	28.3025758626118	28.6309403349772	22.4429012900356	35.5778454220901	20.7556102292227	29.4577784499899	30.405532674581
CG5921	CG5921	8.83200738904668	12.6873615935846	16.7836546791246	7.80622653566456	7.90618787157559	5.93017435120649	10.801185431663	13.7315308852947
CG3774	Efr	11.7760098520622	26.3506740789834	17.770928483779	20.4913446561195	23.7185636147268	19.767247837355	15.710815173328	13.7315308852947
CG3566	CG3566	8.83200738904668	15.6152142690272	13.8218332651614	12.6851181204549	51.3902211652413	51.3948443771229	35.3493341399879	27.4630617705893
CG3446	ND-B16.6	27.4773563214786	24.398772295355	23.6945713117053	16.5882313882872	26.6833840665676	29.6508717560324	16.692741121661	27.4630617705893
CG3869	Marf	15.7013464694163	21.4709196199124	11.8472856558526	13.660896437413	7.90618787157559	6.91853674307424	7.85540758666398	7.84658907731123
CG10695	Pat1	6.86933908036964	8.7835580263278	4.93636902327193	3.90311326783228	23.7185636147268	15.813798269884	23.5662227599919	19.6164726932781
CG3973	pigs	12.7573440064008	14.639263377213	8.88546424188948	7.80622653566456	5.92964090368169	17.7905230536195	3.92770379333199	13.7315308852947
CG3192	ND-ASHI	37.2906978648638	42.9418392398248	51.3382378420281	48.7889158479035	23.7185636147268	18.7788854454872	17.6746670699939	26.4822381359254
CG14442	CG14442	5.88800492603112	14.639263377213	11.8472856558526	13.660896437413	7.90618787157559	8.89526152680973	11.783111379996	12.7507072506308
CG3203	RpL17	487.723074706244	423.562687047363	446.247759703783	421.536232925886	462.511990487172	470.460498529048	479.179862786503	426.658281078798
CG4607	CG4607	52.9920443342801	40.9899374561964	45.4145950141018	51.7162507987777	100.803895362589	110.696587889188	88.3733353499698	113.775541621013
CG10932	CG10932	25.5146880128015	18.5430669444698	25.669118921014	16.5882313882872	20.7537431628859	25.6974221885614	25.5300746566579	20.597296327942
CG1444	spidey	71.637393266712	95.6431873977916	76.0200829583877	73.1833737718553	81.0384256836498	85.9875280924941	80.5179277633058	81.4083616771041
CG2254	Ldsdh1	88.3200738904668	89.7874820469064	73.0582615444246	71.2318171379391	124.522458977316	164.068157050046	129.614225179956	119.660483428996
CG2257	UbcE2H	41.2160344822178	37.0861338889396	65.1600711071895	37.0795760444067	21.7420166468329	16.8021606617517	25.5300746566579	17.6548254239503
CG2272	slpr	9.8133415433852	13.6633124853988	17.770928483779	17.5640097052453	9.88273483946949	13.8370734861485	2.94577784499899	6.86576544264733
CG15347	CG15347	107.946756977237	113.210303450447	94.7782852468211	101.480944963639	197.65469678939	219.41645099464	223.879116219923	239.320966857993
CG7033	CCT2	9.8133415433852	15.6152142690272	9.87273804654386	8.78200485262263	15.8123757431512	35.5810461072389	17.6746670699939	21.5781199626059
CG9113	AP-1gamma	7.85067323470816	10.7354598099562	12.834559460507	17.5640097052453	10.8710083234164	19.767247837355	13.746963276662	13.7315308852947
